image name,number of waste,Group
frame_01150_png_jpg.rf.b96d2107983da43132e9b301c44fff58.jpg,1.0,under the water
frame_01150_png_jpg.rf.ea7d833a34ed97b3af510f8c036d13c5.jpg,1.0,under the water
frame_01150_png_jpg.rf.f6b89de899f6d0b397b55dce90fe9a9b.jpg,1.0,under the water
frame_01170_png.rf.bfddca86b20c4a4c60b72abb7a790452.jpg,8.0,under the water
frame_01155_png_jpg.rf.f254f63e1928d4f10b788a1316a89c49.jpg,1.0,under the water
frame_01170_png_jpg.rf.9f1faa2b92ca656a778657fbf3110466.jpg,1.0,surface of the water
frame_01175_png.rf.d032aa4b2c66f33323f868df9dc4dad1.jpg,1.0,surface of the water
frame_01175_png.rf.0de748d0e974d34420bb6e71e1308bf0.jpg,1.0,under the water
frame_01175_png_jpg.rf.2910787b068467bd4275c759a725bc3c.jpg,1.0,under the water
frame_01175_png_jpg.rf.3ca5eec7442a1d76022393eb9cd2d63b.jpg,1.0,under the water
frame_01175_png_jpg.rf.821c24e0988bb7b9b066b376d809b4e3.jpg,1.0,surface of the water
frame_01175_png_jpg.rf.a0fdd1c1ac7afbf32b6876e63265101f.jpg,1.0,surface of the water
frame_01175_png_jpg.rf.ac1778df7285d49d2a4662f19054b1e9.jpg,1.0,under the water
frame_01175_png_jpg.rf.ede3ad7d596bf3597bdf654677c8b64c.jpg,1.0,under the water
frame_01185_png.rf.022533a5b8166fc0e4097536b5657bd7.jpg,11.0,under the water
frame_01185_png_jpg.rf.12c92744259f9721708f561134358098.jpg,1.0,under the water
frame_01200_png.rf.585f3ad46e673d06efdfebc6e9d59fde.jpg,10.0,under the water
frame_01200_png_jpg.rf.08410b0b27dcba059840c9e48e85b658.jpg,1.0,surface of the water
frame_01200_png_jpg.rf.3f366e01b3faf13884d87cc257308bc0.jpg,1.0,under the water
frame_01200_png_jpg.rf.424ee89db58b539c2167a3f972ce996b.jpg,1.0,under the water
frame_01200_png_jpg.rf.a7e86a8ebd4cb50e6c3d40a9fdefe843.jpg,1.0,under the water
frame_01200_png_jpg.rf.8446c8bd66af743c68b8a05b3d67d42e.jpg,1.0,under the water
frame_01200_png_jpg.rf.bcc9e5665c90a5a213d19fa7cec11de5.jpg,1.0,under the water
frame_01200_png_jpg.rf.f789f1d7524295536817abe25b0c5517.jpg,1.0,under the water
frame_01215_png.rf.6efa350a29d043641df0f8b2ace79e9b.jpg,1.0,under the water
frame_01215_png_jpg.rf.38aae48cb9fb2c7689ddd1d890b2fdb6.jpg,1.0,under the water
frame_01225_png_jpg.rf.3aca72a024f6734197b54c9f6f58c048.jpg,1.0,under the water
frame_01225_png.rf.02a645d3eabb957e827d817490e2c56d.jpg,1.0,under the water
frame_01225_png_jpg.rf.60d424afa7fd73f2eb695ecc46bba9f0.jpg,1.0,under the water
frame_01225_png_jpg.rf.8298a3990f199e1957e124dc760b5556.jpg,1.0,under the water
frame_01225_png_jpg.rf.acd033fcce6dab261cf681ef15ddbd1e.jpg,1.0,under the water
frame_01225_png_jpg.rf.e7d7c250294f2fc00cddd14e60048f52.jpg,11.0,under the water
frame_01225_png_jpg.rf.f4c8c68e923411bbcde0f5293cdc16ff.jpg,1.0,under the water
frame_01225_png_jpg.rf.f660beca5dd3b13b5cc1fdc1c513425b.jpg,1.0,surface of the water
frame_01230_png.rf.a24e385c98148b8434a963b70fec83c7.jpg,1.0,under the water
frame_01230_png_jpg.rf.5df6e61503fb1b3f517a6e5f68cd2822.jpg,1.0,surface of the water
frame_01230_png_jpg.rf.9fa26c112420e4867427e0c31db3edae.jpg,1.0,surface of the water
frame_01230_png_jpg.rf.fd2988e2ab0d58c1f2502302facff124.jpg,1.0,under the water
frame_01230_png_jpg.rf.c60279cbcff10068a7978982b5fcf433.jpg,1.0,under the water
frame_01245_png.rf.e67fda0e43bdff1e88575e4696cad02a.jpg,1.0,under the water
frame_01250_png.rf.a0b2e1597fdce6e334aea2419796158c.jpg,1.0,under the water
